,model,C0,S0,pato0,k_ap,GFP
264,simple,0.1,0.1,9.0,0.03351602650938841,2.083935487966067
265,simple,0.1,0.1,9.0,0.03944206059437656,2.0909310856419205
266,simple,0.1,0.1,9.0,0.046415888336127725,2.096726728623634
267,simple,0.1,0.1,9.0,0.05462277217684337,2.1015466143101635
268,simple,0.1,0.1,9.0,0.06428073117284319,2.105568077215989
269,simple,0.1,0.1,9.0,0.07564633275546291,2.108932701233485
270,simple,0.1,0.1,9.0,0.08902150854450375,2.111754395291349
271,simple,0.1,0.1,9.0,0.1047615752789664,2.1141254879201674
272,simple,0.1,0.1,9.0,0.12328467394420659,2.1161213317592296
273,simple,0.1,0.1,9.0,0.145082877849594,2.1178037138474766
274,simple,0.1,0.1,9.0,0.17073526474706888,2.119223607945064
275,simple,0.1,0.1,9.0,0.2009233002565046,2.120423191533082
276,simple,0.1,0.1,9.0,0.23644894126454072,2.1214375300979618
277,simple,0.1,0.1,9.0,0.2782559402207126,2.1222958724238437
278,simple,0.1,0.1,9.0,0.3274549162877725,2.1230226883180063
279,simple,0.1,0.1,9.0,0.38535285937105274,2.123638429501244
280,simple,0.1,0.1,9.0,0.4534878508128582,2.1241603399107314
281,simple,0.1,0.1,9.0,0.5336699231206302,2.12460285113577
282,simple,0.1,0.1,9.0,0.6280291441834247,2.12497819983637
283,simple,0.1,0.1,9.0,0.7390722033525775,2.1252966392951413
284,simple,0.1,0.1,9.0,0.8697490026177834,2.125566892194583
285,simple,0.1,0.1,9.0,1.0235310218990248,2.1257962664219
286,simple,0.1,0.1,9.0,1.2045035402587811,2.1259910018139134
287,simple,0.1,0.1,9.0,1.4174741629268048,2.1261563076570296
288,simple,0.1,0.1,9.0,1.6681005372000592,2.1262967315742576
289,simple,0.1,0.1,9.0,1.9630406500402684,2.1264159772527402
290,simple,0.1,0.1,9.0,2.310129700083158,2.1265172437673594
291,simple,0.1,0.1,9.0,2.71858824273294,2.126603250911715
292,simple,0.1,0.1,9.0,3.1992671377973845,2.126676318075828
293,simple,0.1,0.1,9.0,3.7649358067924634,2.12673839585521
294,simple,0.1,0.1,9.0,4.430621457583878,2.126791127330572
295,simple,0.1,0.1,9.0,5.214008287999684,2.1268359212883015
296,simple,0.1,0.1,9.0,6.135907273413163,2.1268739774873673
297,simple,0.1,0.1,9.0,7.220809018385457,2.1269063245385347
298,simple,0.1,0.1,9.0,8.497534359086439,2.126933794545741
299,simple,0.1,0.1,9.0,10.0,2.126957138414368
300,simple,0.1,0.31622776601683794,1.0,1e-06,0.14035090845366915
301,simple,0.1,0.31622776601683794,1.0,1.1768119524349991e-06,0.1403509158547797
302,simple,0.1,0.31622776601683794,1.0,1.3848863713938717e-06,0.1403509382396292
303,simple,0.1,0.31622776601683794,1.0,1.6297508346206435e-06,0.1403509602460624
304,simple,0.1,0.31622776601683794,1.0,1.917910261672489e-06,0.14035098663135556
305,simple,0.1,0.31622776601683794,1.0,2.2570197196339214e-06,0.14035103592774195
306,simple,0.1,0.31622776601683794,1.0,2.656087782946684e-06,0.14035109823162178
307,simple,0.1,0.31622776601683794,1.0,3.1257158496882352e-06,0.14035118373535435
308,simple,0.1,0.31622776601683794,1.0,3.6783797718286343e-06,0.14035130118323746
309,simple,0.1,0.31622776601683794,1.0,4.328761281083061e-06,0.14035146491010628
310,simple,0.1,0.31622776601683794,1.0,5.0941380148163755e-06,0.1403516907985078
311,simple,0.1,0.31622776601683794,1.0,5.994842503189409e-06,0.14035200596444816
312,simple,0.1,0.31622776601683794,1.0,7.0548023107186455e-06,0.14035243898437316
313,simple,0.1,0.31622776601683794,1.0,8.302175681319735e-06,0.14035303944919414
314,simple,0.1,0.31622776601683794,1.0,9.770099572992246e-06,0.14035387112953834
315,simple,0.1,0.31622776601683794,1.0,1.1497569953977357e-05,0.1403550268012171
316,simple,0.1,0.31622776601683794,1.0,1.3530477745798076e-05,0.1403566230424956
317,simple,0.1,0.31622776601683794,1.0,1.5922827933410938e-05,0.14035883505996738
318,simple,0.1,0.31622776601683794,1.0,1.873817422860383e-05,0.14036189839795377
319,simple,0.1,0.31622776601683794,1.0,2.2051307399030455e-05,0.14036614612200546
320,simple,0.1,0.31622776601683794,1.0,2.5950242113997373e-05,0.14037202514661562
321,simple,0.1,0.31622776601683794,1.0,3.053855508833412e-05,0.1403801682184897
322,simple,0.1,0.31622776601683794,1.0,3.5938136638046256e-05,0.14039144775553
323,simple,0.1,0.31622776601683794,1.0,4.229242874389499e-05,0.14040706939752934
324,simple,0.1,0.31622776601683794,1.0,4.977023564332114e-05,0.14042871362698128
325,simple,0.1,0.31622776601683794,1.0,5.857020818056661e-05,0.14045869325400193
326,simple,0.1,0.31622776601683794,1.0,6.892612104349695e-05,0.14050022412175045
327,simple,0.1,0.31622776601683794,1.0,8.111308307896872e-05,0.14055775850373228
328,simple,0.1,0.31622776601683794,1.0,9.545484566618328e-05,0.14063747141175106
329,simple,0.1,0.31622776601683794,1.0,0.00011233240329780277,0.14074789424242032
