,model,C0,S0,pato0,k_ap,GFP
146,original,0.1,0.1,5.0,0.001788649529057435,1314.4759441517385
147,original,0.1,0.1,5.0,0.00210490414451202,1315.6407543419941
148,original,0.1,0.1,5.0,0.0024770763559917087,1316.6230795878007
149,original,0.1,0.1,5.0,0.002915053062825176,1317.4520948504162
150,original,0.1,0.1,5.0,0.0034304692863149156,1318.1522192554098
151,original,0.1,0.1,5.0,0.004037017258596553,1318.7438676622612
152,original,0.1,0.1,5.0,0.004750810162102793,1319.244212560832
153,original,0.1,0.1,5.0,0.005590810182512223,1319.6675792638982
154,original,0.1,0.1,5.0,0.006579332246575676,1320.0260202951538
155,original,0.1,0.1,5.0,0.007742636826811269,1320.3296292450837
156,original,0.1,0.1,5.0,0.009111627561154887,1320.5868980266812
157,original,0.1,0.1,5.0,0.010722672220103232,1320.8050078259917
158,original,0.1,0.1,5.0,0.012618568830660211,1320.9899644070686
159,original,0.1,0.1,5.0,0.014849682622544635,1321.1468696932172
160,original,0.1,0.1,5.0,0.017475284000076828,1321.2799896322792
161,original,0.1,0.1,5.0,0.020565123083486514,1321.3929670392527
162,original,0.1,0.1,5.0,0.024201282647943835,1321.488885166688
163,original,0.1,0.1,5.0,0.02848035868435799,1321.5703187353176
164,original,0.1,0.1,5.0,0.03351602650938841,1321.6394356177968
165,original,0.1,0.1,5.0,0.03944206059437656,1321.6981528447873
166,original,0.1,0.1,5.0,0.046415888336127725,1321.7480491709725
167,original,0.1,0.1,5.0,0.05462277217684337,1321.7903810822652
168,original,0.1,0.1,5.0,0.06428073117284319,1321.8263658852097
169,original,0.1,0.1,5.0,0.07564633275546291,1321.8569359863054
170,original,0.1,0.1,5.0,0.08902150854450375,1321.882905159489
171,original,0.1,0.1,5.0,0.1047615752789664,1321.9049732304793
172,original,0.1,0.1,5.0,0.12328467394420659,1321.9237211485934
173,original,0.1,0.1,5.0,0.145082877849594,1321.9396549737212
174,original,0.1,0.1,5.0,0.17073526474706888,1321.9531932008836
175,original,0.1,0.1,5.0,0.2009233002565046,1321.9646920649845
176,original,0.1,0.1,5.0,0.23644894126454072,1321.9744761669208
